codigo,placa,linha,latitude,longitude,velocidade,sentido,trajeto,timestamp
B54,,14,-23.008021666666668,-43.44045,0.0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],2023-07-18 12:58:40
B55,,14,-23.008393333333334,-43.441075,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:09:19
B53,,14,-23.008158333333334,-43.440785,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:17:39
B51,,14,-23.008353333333332,-43.44096666666667,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:11:04
901050,,51,-22.964503,-43.392027,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 13:17:04
901077,,52,-23.000908,-43.367802,0.0,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 11:21:53
903045,,17,-22.907717,-43.564711,0.3,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],2023-07-18 13:23:03
902119,,35,-22.876828,-43.330086,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 13:23:08
901058,,51,-23.008596,-43.440425,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:27:07
902105,,35,-22.876784,-43.329475,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 12:38:40
901071,,22,-23.006492,-43.315926,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:55:25
903027,,50,-22.972289,-43.401121,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 13:23:08
901066,,22,-23.006612,-43.314072,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:17:35
903026,,50,-23.000757,-43.368161,4.6,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 13:23:11
903029,,50,-22.876649,-43.329512,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 11:54:41
902116,,35,-23.000991,-43.364402,12.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],2023-07-18 13:22:04
902115,,35,-22.973297,-43.377743,33.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],2023-07-18 13:22:56
